 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 1.13140000e-03  2.50073496e+00  3.76459884e+00  2.43477201e+00 -3.36396284e-05 
 1.13640000e-03  2.50075590e+00  3.76249561e+00  2.43267459e+00 -3.36548456e-05 
 1.14140000e-03  2.50077609e+00  3.76046010e+00  2.43064499e+00 -3.36695766e-05 
 1.14640000e-03  2.50079552e+00  3.75849435e+00  2.42868524e+00 -3.36838066e-05 
 1.15140000e-03  2.50081416e+00  3.75660032e+00  2.42679728e+00 -3.36975213e-05 
 1.15640000e-03  2.50083199e+00  3.75477992e+00  2.42498303e+00 -3.37107069e-05 
 1.16140000e-03  2.50084901e+00  3.75303496e+00  2.42324429e+00 -3.37233502e-05 
 1.16640000e-03  2.50086519e+00  3.75136719e+00  2.42158280e+00 -3.37354384e-05 
 1.17140000e-03  2.50088051e+00  3.74977829e+00  2.42000024e+00 -3.37469594e-05 
 1.17640000e-03  2.50089497e+00  3.74826985e+00  2.41849818e+00 -3.37579015e-05 
 1.18140000e-03  2.50090854e+00  3.74684337e+00  2.41707813e+00 -3.37682538e-05 
 1.18640000e-03  2.50092121e+00  3.74550030e+00  2.41574152e+00 -3.37780059e-05 
 1.19140000e-03  2.50093298e+00  3.74424197e+00  2.41448969e+00 -3.37871478e-05 
 1.19640000e-03  2.50094382e+00  3.74306965e+00  2.41332389e+00 -3.37956705e-05 
 1.20140000e-03  2.50095374e+00  3.74198452e+00  2.41224529e+00 -3.38035652e-05 
 1.20640000e-03  2.50096271e+00  3.74098766e+00  2.41125497e+00 -3.38108241e-05 
 1.21140000e-03  2.50097073e+00  3.74008007e+00  2.41035393e+00 -3.38174399e-05 
 1.21640000e-03  2.50097780e+00  3.73926266e+00  2.40954307e+00 -3.38234058e-05 
 1.22140000e-03  2.50098390e+00  3.73853626e+00  2.40882320e+00 -3.38287159e-05 
 1.22640000e-03  2.50098903e+00  3.73790159e+00  2.40819505e+00 -3.38333648e-05 
 1.23140000e-03  2.50099318e+00  3.73735929e+00  2.40765924e+00 -3.38373478e-05 
 1.23640000e-03  2.50099635e+00  3.73690991e+00  2.40721632e+00 -3.38406609e-05 
 1.24140000e-03  2.50099854e+00  3.73655388e+00  2.40686673e+00 -3.38433008e-05 
 1.24640000e-03  2.50099974e+00  3.73629158e+00  2.40661081e+00 -3.38452649e-05 
 1.25140000e-03  2.50099996e+00  3.73612326e+00  2.40644883e+00 -3.38465511e-05 
 1.25640000e-03  2.50099919e+00  3.73604909e+00  2.40638095e+00 -3.38471581e-05 
 1.26140000e-03  2.50099744e+00  3.73606915e+00  2.40640723e+00 -3.38470854e-05 
